idx,default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,sex,marriage,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker,rank_svm_saw
172,0,no checking account,12,existing credits paid back duly till now,radio/television,763,... < 100 DM,1 <= ... < 4 years,4,female , divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
173,1,0 <= ... < 200 DM,24,delay in paying off in the past,radio/television,2064,... < 100 DM,unemployed,3,female , divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,34,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
174,0,0 <= ... < 200 DM,8,existing credits paid back duly till now,domestic appliances,1414,... < 100 DM,1 <= ... < 4 years,4,male , single,guarantor,2,real estate,33,none,own,1,skilled employee / official,1,none,no,
175,1,< 0 DM,21,delay in paying off in the past,(vacation - does not exist?),3414,... < 100 DM,... < 1 year ,2,male , single,none,1,if not A121 : building society savings agreement/ life insurance,26,none,own,2,skilled employee / official,1,none,yes,
176,1,no checking account,30,all credits at this bank paid back duly,car (used),7485,unknown/ no savings account,unemployed,4,female , divorced/separated/married,none,1,real estate,53,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
177,0,< 0 DM,12,existing credits paid back duly till now,radio/television,2577,... < 100 DM,1 <= ... < 4 years,2,male , divorced/separated,none,1,"if not A121/A122 : car or other, not in attribute 6",42,none,own,1,skilled employee / official,1,none,yes,
178,0,< 0 DM,6,critical account/ other credits existing (not at this bank),domestic appliances,338,500 <= ... < 1000 DM ,.. >= 7 years,4,male , single,none,4,"if not A121/A122 : car or other, not in attribute 6",52,none,own,2,skilled employee / official,1,none,yes,
179,0,no checking account,12,existing credits paid back duly till now,domestic appliances,1963,... < 100 DM,4 <= ... < 7 years,4,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,rent,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes,
180,0,< 0 DM,21,critical account/ other credits existing (not at this bank),car (new),571,... < 100 DM,.. >= 7 years,4,male , single,none,4,real estate,65,none,own,2,skilled employee / official,1,none,yes,
181,1,no checking account,36,delay in paying off in the past,business,9572,... < 100 DM,... < 1 year ,1,male , divorced/separated,none,1,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,none,yes,
182,1,0 <= ... < 200 DM,36,delay in paying off in the past,business,4455,... < 100 DM,1 <= ... < 4 years,2,male , divorced/separated,none,2,real estate,30,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
183,1,< 0 DM,21,all credits at this bank paid back duly,car (new),1647,unknown/ no savings account,1 <= ... < 4 years,4,male , single,none,2,if not A121 : building society savings agreement/ life insurance,40,none,own,2,unskilled - resident,2,none,yes,
184,0,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,3777,.. >= 1000 DM ,1 <= ... < 4 years,4,male , single,none,4,real estate,50,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
185,1,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),884,... < 100 DM,.. >= 7 years,4,male , single,none,4,"if not A121/A122 : car or other, not in attribute 6",36,bank,own,1,skilled employee / official,2,"yes, registered under the customers name ",yes,
186,0,no checking account,15,critical account/ other credits existing (not at this bank),domestic appliances,1360,... < 100 DM,1 <= ... < 4 years,4,male , single,none,2,if not A121 : building society savings agreement/ life insurance,31,none,own,2,skilled employee / official,1,none,yes,
187,1,0 <= ... < 200 DM,9,all credits at this bank paid back duly,car (used),5129,... < 100 DM,.. >= 7 years,2,female , divorced/separated/married,none,4,unknown / no property,74,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes,
188,0,0 <= ... < 200 DM,16,critical account/ other credits existing (not at this bank),car (new),1175,... < 100 DM,unemployed,2,male , single,none,3,"if not A121/A122 : car or other, not in attribute 6",68,none,for free,3,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name ",yes,
189,1,< 0 DM,12,existing credits paid back duly till now,domestic appliances,674,100 <= ... < 500 DM,4 <= ... < 7 years,4,male , married/widowed,none,1,if not A121 : building society savings agreement/ life insurance,20,none,own,1,skilled employee / official,1,none,yes,
190,0,0 <= ... < 200 DM,18,no credits taken/ all credits paid back duly,radio/television,3244,... < 100 DM,1 <= ... < 4 years,1,female , divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",33,bank,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
191,1,no checking account,24,existing credits paid back duly till now,business,4591,.. >= 1000 DM ,1 <= ... < 4 years,2,male , single,none,3,if not A121 : building society savings agreement/ life insurance,54,none,own,3,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
192,1,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,3844,100 <= ... < 500 DM,4 <= ... < 7 years,4,male , single,none,4,unknown / no property,34,none,for free,1,unskilled - resident,2,none,yes,
193,1,0 <= ... < 200 DM,27,existing credits paid back duly till now,business,3915,... < 100 DM,1 <= ... < 4 years,4,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,skilled employee / official,2,"yes, registered under the customers name ",yes,
194,0,no checking account,6,existing credits paid back duly till now,domestic appliances,2108,... < 100 DM,4 <= ... < 7 years,2,male , married/widowed,none,2,real estate,29,none,rent,1,skilled employee / official,1,none,yes,
195,1,0 <= ... < 200 DM,45,existing credits paid back duly till now,domestic appliances,3031,100 <= ... < 500 DM,1 <= ... < 4 years,4,male , single,guarantor,4,if not A121 : building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes,
196,1,0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),(vacation - does not exist?),1501,... < 100 DM,.. >= 7 years,2,female , divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
197,0,no checking account,6,critical account/ other credits existing (not at this bank),domestic appliances,1382,... < 100 DM,1 <= ... < 4 years,1,female , divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
198,1,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,951,100 <= ... < 500 DM,... < 1 year ,4,female , divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",27,bank,rent,4,skilled employee / official,1,none,yes,
199,0,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),2760,unknown/ no savings account,.. >= 7 years,4,male , single,none,4,unknown / no property,36,bank,for free,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
200,1,0 <= ... < 200 DM,18,delay in paying off in the past,radio/television,4297,... < 100 DM,.. >= 7 years,4,male , divorced/separated,none,3,unknown / no property,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
201,0,no checking account,9,critical account/ other credits existing (not at this bank),(vacation - does not exist?),936,500 <= ... < 1000 DM ,.. >= 7 years,4,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",52,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
202,0,< 0 DM,12,existing credits paid back duly till now,car (new),1168,... < 100 DM,1 <= ... < 4 years,4,male , married/widowed,none,3,real estate,27,none,own,1,unskilled - resident,1,none,yes,
203,0,no checking account,27,delay in paying off in the past,business,5117,... < 100 DM,4 <= ... < 7 years,3,male , single,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,none,yes,
204,1,< 0 DM,12,existing credits paid back duly till now,retraining,902,... < 100 DM,4 <= ... < 7 years,4,male , married/widowed,none,4,if not A121 : building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes,
205,0,no checking account,12,critical account/ other credits existing (not at this bank),car (new),1495,... < 100 DM,.. >= 7 years,4,male , single,none,1,real estate,38,none,own,2,unskilled - resident,2,none,yes,
206,0,< 0 DM,30,critical account/ other credits existing (not at this bank),car (used),10623,... < 100 DM,.. >= 7 years,3,male , single,none,4,unknown / no property,38,none,for free,3,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes,
207,0,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1935,... < 100 DM,.. >= 7 years,4,male , single,none,4,real estate,43,none,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes,
208,0,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),repairs,1424,... < 100 DM,4 <= ... < 7 years,4,male , single,none,3,if not A121 : building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,none,yes,
209,0,< 0 DM,24,existing credits paid back duly till now,business,6568,... < 100 DM,1 <= ... < 4 years,2,male , married/widowed,none,2,"if not A121/A122 : car or other, not in attribute 6",21,stores,own,1,unskilled - resident,1,none,yes,
210,0,no checking account,12,existing credits paid back duly till now,car (used),1413,.. >= 1000 DM ,4 <= ... < 7 years,3,male , single,none,2,if not A121 : building society savings agreement/ life insurance,55,none,own,1,skilled employee / official,1,none,no,
211,0,no checking account,9,critical account/ other credits existing (not at this bank),domestic appliances,3074,unknown/ no savings account,1 <= ... < 4 years,1,male , single,none,2,real estate,33,none,own,2,skilled employee / official,2,none,yes,
212,0,no checking account,36,existing credits paid back duly till now,domestic appliances,3835,unknown/ no savings account,.. >= 7 years,2,female , divorced/separated/married,none,4,real estate,45,none,own,1,unskilled - resident,1,"yes, registered under the customers name ",yes,
213,1,< 0 DM,27,no credits taken/ all credits paid back duly,business,5293,... < 100 DM,unemployed,2,male , single,none,4,if not A121 : building society savings agreement/ life insurance,50,stores,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
214,1,>= 200 DM / salary assignments for at least 1 year,30,delay in paying off in the past,business,1908,... < 100 DM,.. >= 7 years,4,male , single,none,4,real estate,66,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
215,0,no checking account,36,critical account/ other credits existing (not at this bank),domestic appliances,3342,unknown/ no savings account,.. >= 7 years,4,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",51,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
216,0,0 <= ... < 200 DM,6,critical account/ other credits existing (not at this bank),retraining,932,unknown/ no savings account,4 <= ... < 7 years,1,female , divorced/separated/married,none,3,if not A121 : building society savings agreement/ life insurance,39,none,own,2,unskilled - resident,1,none,yes,
217,0,< 0 DM,18,no credits taken/ all credits paid back duly,business,3104,... < 100 DM,4 <= ... < 7 years,3,male , single,none,1,if not A121 : building society savings agreement/ life insurance,31,bank,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
218,0,>= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,domestic appliances,3913,... < 100 DM,1 <= ... < 4 years,2,male , single,none,2,real estate,23,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
219,0,< 0 DM,24,existing credits paid back duly till now,radio/television,3021,... < 100 DM,1 <= ... < 4 years,2,male , divorced/separated,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes,
220,0,no checking account,10,existing credits paid back duly till now,car (new),1364,... < 100 DM,1 <= ... < 4 years,2,female , divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",64,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
221,0,0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,625,... < 100 DM,... < 1 year ,4,male , married/widowed,guarantor,1,real estate,26,bank,own,1,unskilled - resident,1,none,yes,
222,0,< 0 DM,12,existing credits paid back duly till now,(vacation - does not exist?),1200,unknown/ no savings account,1 <= ... < 4 years,4,female , divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,23,bank,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
223,0,no checking account,12,existing credits paid back duly till now,domestic appliances,707,... < 100 DM,1 <= ... < 4 years,4,male , single,none,2,real estate,30,bank,own,2,skilled employee / official,1,none,yes,
224,0,no checking account,24,delay in paying off in the past,business,2978,unknown/ no savings account,1 <= ... < 4 years,4,male , single,none,4,real estate,32,none,own,2,skilled employee / official,2,"yes, registered under the customers name ",yes,
225,0,no checking account,15,existing credits paid back duly till now,car (used),4657,... < 100 DM,1 <= ... < 4 years,3,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
226,0,no checking account,36,no credits taken/ all credits paid back duly,education,2613,... < 100 DM,1 <= ... < 4 years,4,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,
227,1,0 <= ... < 200 DM,48,existing credits paid back duly till now,domestic appliances,10961,.. >= 1000 DM ,4 <= ... < 7 years,1,male , single,co-applicant,2,unknown / no property,27,bank,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
228,1,< 0 DM,12,existing credits paid back duly till now,radio/television,7865,... < 100 DM,.. >= 7 years,4,male , single,none,4,unknown / no property,53,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
229,1,no checking account,9,existing credits paid back duly till now,domestic appliances,1478,... < 100 DM,4 <= ... < 7 years,4,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,none,yes,
230,0,< 0 DM,24,existing credits paid back duly till now,radio/television,3149,... < 100 DM,... < 1 year ,4,male , single,none,1,unknown / no property,22,bank,for free,1,skilled employee / official,1,none,yes,
231,1,>= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,domestic appliances,4210,... < 100 DM,1 <= ... < 4 years,4,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,none,yes,
232,0,no checking account,9,existing credits paid back duly till now,car (new),2507,500 <= ... < 1000 DM ,.. >= 7 years,2,male , single,none,4,unknown / no property,51,none,for free,1,unskilled - resident,1,none,yes,
233,0,no checking account,12,existing credits paid back duly till now,domestic appliances,2141,100 <= ... < 500 DM,4 <= ... < 7 years,3,male , single,none,1,unknown / no property,35,none,own,1,skilled employee / official,1,none,yes,
234,0,0 <= ... < 200 DM,18,existing credits paid back duly till now,domestic appliances,866,... < 100 DM,1 <= ... < 4 years,4,male , married/widowed,guarantor,2,real estate,25,none,own,1,unskilled - resident,1,none,yes,
235,0,no checking account,4,critical account/ other credits existing (not at this bank),domestic appliances,1544,... < 100 DM,4 <= ... < 7 years,2,male , single,none,1,real estate,42,none,own,3,unskilled - resident,2,none,yes,
236,1,< 0 DM,24,existing credits paid back duly till now,domestic appliances,1823,... < 100 DM,unemployed,4,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,stores,own,1,management/ self-employed/ highly qualified employee/ officer,2,none,yes,
237,1,0 <= ... < 200 DM,6,existing credits paid back duly till now,car (new),14555,unknown/ no savings account,unemployed,1,male , single,none,2,if not A121 : building society savings agreement/ life insurance,23,none,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name ",yes,
238,1,0 <= ... < 200 DM,21,existing credits paid back duly till now,business,2767,100 <= ... < 500 DM,.. >= 7 years,4,male , divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute 6",61,bank,rent,2,unskilled - resident,1,none,yes,
239,0,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,1291,... < 100 DM,1 <= ... < 4 years,4,female , divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,none,yes,
240,0,< 0 DM,30,existing credits paid back duly till now,domestic appliances,2522,... < 100 DM,.. >= 7 years,1,male , single,guarantor,3,if not A121 : building society savings agreement/ life insurance,39,none,own,1,skilled employee / official,2,none,yes,
241,1,< 0 DM,24,existing credits paid back duly till now,car (new),915,unknown/ no savings account,.. >= 7 years,4,female , divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",29,bank,own,1,skilled employee / official,1,none,yes,
242,0,no checking account,6,existing credits paid back duly till now,domestic appliances,1595,... < 100 DM,4 <= ... < 7 years,3,male , single,none,2,if not A121 : building society savings agreement/ life insurance,51,none,own,1,skilled employee / official,2,none,yes,
243,1,< 0 DM,48,no credits taken/ all credits paid back duly,car (used),4605,... < 100 DM,.. >= 7 years,3,male , single,none,4,unknown / no property,24,none,for free,2,skilled employee / official,2,none,yes,
244,0,no checking account,12,critical account/ other credits existing (not at this bank),business,1185,... < 100 DM,1 <= ... < 4 years,3,female , divorced/separated/married,none,2,real estate,27,none,own,2,skilled employee / official,1,none,yes,
245,0,no checking account,12,all credits at this bank paid back duly,retraining,3447,500 <= ... < 1000 DM ,1 <= ... < 4 years,4,female , divorced/separated/married,none,3,real estate,35,none,own,1,unskilled - resident,2,none,yes,
246,0,no checking account,24,existing credits paid back duly till now,business,1258,... < 100 DM,4 <= ... < 7 years,4,male , single,none,1,real estate,25,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
247,0,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,717,... < 100 DM,.. >= 7 years,4,male , single,none,4,real estate,52,none,own,3,skilled employee / official,1,none,yes,
248,0,no checking account,6,no credits taken/ all credits paid back duly,car (new),1204,100 <= ... < 500 DM,1 <= ... < 4 years,4,male , single,none,1,unknown / no property,35,bank,rent,1,skilled employee / official,1,none,no,
249,0,>= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,1925,... < 100 DM,1 <= ... < 4 years,2,male , single,none,2,real estate,26,none,own,1,skilled employee / official,1,none,yes,
250,1,no checking account,18,existing credits paid back duly till now,domestic appliances,433,... < 100 DM,unemployed,3,female , divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled employee / official,1,none,yes,
251,0,< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),666,.. >= 1000 DM ,4 <= ... < 7 years,3,female , divorced/separated/married,none,4,real estate,39,none,own,2,unskilled - resident,1,"yes, registered under the customers name ",yes,
252,0,>= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,2251,... < 100 DM,1 <= ... < 4 years,1,female , divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",46,none,own,1,unskilled - resident,1,none,yes,
253,1,0 <= ... < 200 DM,30,existing credits paid back duly till now,car (new),2150,... < 100 DM,1 <= ... < 4 years,4,female , divorced/separated/married,guarantor,2,unknown / no property,24,bank,own,1,skilled employee / official,1,none,yes,
254,0,no checking account,24,delay in paying off in the past,radio/television,4151,100 <= ... < 500 DM,1 <= ... < 4 years,2,male , single,none,3,if not A121 : building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,none,yes,
255,0,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,2030,unknown/ no savings account,4 <= ... < 7 years,2,male , single,none,1,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
256,0,0 <= ... < 200 DM,60,delay in paying off in the past,domestic appliances,7418,unknown/ no savings account,1 <= ... < 4 years,1,male , single,none,1,real estate,27,none,own,1,unskilled - resident,1,none,yes,
257,0,no checking account,24,critical account/ other credits existing (not at this bank),domestic appliances,2684,... < 100 DM,1 <= ... < 4 years,4,male , single,none,2,real estate,35,none,own,2,unskilled - resident,1,none,yes,
258,1,< 0 DM,12,all credits at this bank paid back duly,domestic appliances,2149,... < 100 DM,1 <= ... < 4 years,4,male , divorced/separated,none,1,unknown / no property,29,none,for free,1,skilled employee / official,1,none,yes,
259,0,no checking account,15,existing credits paid back duly till now,car (used),3812,100 <= ... < 500 DM,... < 1 year ,1,female , divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
260,0,no checking account,11,critical account/ other credits existing (not at this bank),domestic appliances,1154,100 <= ... < 500 DM,unemployed,4,female , divorced/separated/married,none,4,real estate,57,none,own,3,unskilled - resident,1,none,yes,
261,0,< 0 DM,12,existing credits paid back duly till now,radio/television,1657,... < 100 DM,1 <= ... < 4 years,2,male , single,none,2,real estate,27,none,own,1,skilled employee / official,1,none,yes,
262,0,< 0 DM,24,existing credits paid back duly till now,domestic appliances,1603,... < 100 DM,.. >= 7 years,4,female , divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",55,none,own,1,skilled employee / official,1,none,yes,
263,0,< 0 DM,18,critical account/ other credits existing (not at this bank),car (new),5302,... < 100 DM,.. >= 7 years,2,male , single,none,4,unknown / no property,36,none,for free,3,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
264,0,no checking account,12,critical account/ other credits existing (not at this bank),(vacation - does not exist?),2748,... < 100 DM,.. >= 7 years,2,female , divorced/separated/married,none,4,unknown / no property,57,bank,for free,3,unskilled - resident,1,none,yes,
265,0,no checking account,10,critical account/ other credits existing (not at this bank),car (new),1231,... < 100 DM,.. >= 7 years,3,male , single,none,4,real estate,32,none,own,2,unskilled - resident,2,none,no,
266,1,0 <= ... < 200 DM,15,existing credits paid back duly till now,domestic appliances,802,... < 100 DM,.. >= 7 years,4,male , single,none,3,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,2,none,yes,
267,0,no checking account,36,critical account/ other credits existing (not at this bank),business,6304,unknown/ no savings account,.. >= 7 years,4,male , single,none,4,real estate,36,none,own,2,skilled employee / official,1,none,yes,
268,0,no checking account,24,existing credits paid back duly till now,domestic appliances,1533,... < 100 DM,... < 1 year ,4,female , divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",38,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
269,1,< 0 DM,14,existing credits paid back duly till now,car (new),8978,... < 100 DM,.. >= 7 years,1,male , divorced/separated,none,4,if not A121 : building society savings agreement/ life insurance,45,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",no,
270,0,no checking account,24,existing credits paid back duly till now,domestic appliances,999,unknown/ no savings account,.. >= 7 years,4,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,none,yes,
271,0,no checking account,18,existing credits paid back duly till now,car (new),2662,unknown/ no savings account,4 <= ... < 7 years,4,male , single,none,3,if not A121 : building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,none,no,
272,0,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1402,500 <= ... < 1000 DM ,4 <= ... < 7 years,3,female , divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
273,0,0 <= ... < 200 DM,48,all credits at this bank paid back duly,car (new),12169,unknown/ no savings account,unemployed,4,male , single,co-applicant,4,unknown / no property,36,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
274,1,0 <= ... < 200 DM,48,existing credits paid back duly till now,domestic appliances,3060,... < 100 DM,4 <= ... < 7 years,4,male , single,none,4,real estate,28,none,own,2,skilled employee / official,1,none,yes,
275,1,< 0 DM,30,existing credits paid back duly till now,education,11998,... < 100 DM,... < 1 year ,1,male , divorced/separated,none,1,unknown / no property,34,none,own,1,unskilled - resident,1,"yes, registered under the customers name ",yes,
276,0,no checking account,9,existing credits paid back duly till now,domestic appliances,2697,... < 100 DM,1 <= ... < 4 years,1,male , single,none,2,real estate,32,none,own,1,skilled employee / official,2,none,yes,
277,0,no checking account,18,critical account/ other credits existing (not at this bank),domestic appliances,2404,... < 100 DM,1 <= ... < 4 years,2,female , divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,none,yes,
278,0,< 0 DM,12,existing credits paid back duly till now,radio/television,1262,unknown/ no savings account,.. >= 7 years,2,male , divorced/separated,none,4,if not A121 : building society savings agreement/ life insurance,49,none,own,1,unskilled - resident,1,"yes, registered under the customers name ",yes,
279,1,no checking account,6,existing credits paid back duly till now,radio/television,4611,... < 100 DM,... < 1 year ,1,female , divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,none,yes,
280,0,no checking account,24,existing credits paid back duly till now,domestic appliances,1901,100 <= ... < 500 DM,1 <= ... < 4 years,4,male , single,none,4,"if not A121/A122 : car or other, not in attribute 6",29,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
281,0,no checking account,15,critical account/ other credits existing (not at this bank),car (used),3368,.. >= 1000 DM ,.. >= 7 years,3,male , single,none,4,unknown / no property,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
282,0,no checking account,12,existing credits paid back duly till now,radio/television,1574,... < 100 DM,1 <= ... < 4 years,4,male , single,none,2,real estate,50,none,own,1,skilled employee / official,1,none,yes,
283,0,>= 200 DM / salary assignments for at least 1 year,18,all credits at this bank paid back duly,domestic appliances,1445,unknown/ no savings account,4 <= ... < 7 years,4,male , single,none,4,"if not A121/A122 : car or other, not in attribute 6",49,bank,own,1,unskilled - resident,1,none,yes,
284,0,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1520,unknown/ no savings account,.. >= 7 years,4,male , single,none,4,if not A121 : building society savings agreement/ life insurance,63,none,own,1,skilled employee / official,1,none,yes,
285,0,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),car (new),3878,100 <= ... < 500 DM,... < 1 year ,4,male , divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
286,0,< 0 DM,47,existing credits paid back duly till now,car (new),10722,... < 100 DM,... < 1 year ,1,female , divorced/separated/married,none,1,real estate,35,none,own,1,unskilled - resident,1,"yes, registered under the customers name ",yes,
287,0,< 0 DM,48,existing credits paid back duly till now,car (used),4788,... < 100 DM,4 <= ... < 7 years,4,male , single,none,3,if not A121 : building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,2,none,yes,
288,0,0 <= ... < 200 DM,48,delay in paying off in the past,furniture/equipment,7582,100 <= ... < 500 DM,unemployed,2,male , single,none,4,unknown / no property,31,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
289,0,0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1092,... < 100 DM,1 <= ... < 4 years,4,female , divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
290,1,< 0 DM,24,delay in paying off in the past,domestic appliances,1024,... < 100 DM,... < 1 year ,4,male , married/widowed,none,4,real estate,48,stores,own,1,skilled employee / official,1,none,yes,
291,0,no checking account,12,existing credits paid back duly till now,business,1076,... < 100 DM,1 <= ... < 4 years,2,male , married/widowed,none,2,real estate,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",no,
292,1,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),9398,... < 100 DM,... < 1 year ,1,male , married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
293,0,< 0 DM,24,critical account/ other credits existing (not at this bank),car (used),6419,... < 100 DM,.. >= 7 years,2,female , divorced/separated/married,none,4,unknown / no property,44,none,for free,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes,
294,0,>= 200 DM / salary assignments for at least 1 year,42,critical account/ other credits existing (not at this bank),car (used),4796,... < 100 DM,.. >= 7 years,4,male , single,none,4,unknown / no property,56,none,for free,1,skilled employee / official,1,none,yes,
