idx,credit_risk,sex,account_check_status,duration_in_month,credit_history,credit_amount,savings,present_employment_since,installment_as_income_perc,marriage,other_debtors,property,age_in_years,age>25,age>35,other_installment_plans,housing,number_of_existing_credits_at_this_bank,telephone,foreign_worker,job
307,0,1,3,30,3,4811,4,3,2,1,4,1,24,1,0,1,0,1,0,0,1
308,1,0,0,12,3,727,1,1,4,3,3,3,33,0,0,2,1,1,1,0,1
309,1,1,1,8,3,1237,0,2,3,1,4,0,24,1,0,2,1,1,0,0,2
310,0,0,1,9,3,276,0,2,4,3,4,0,22,0,0,2,0,1,0,0,1
311,0,0,1,48,3,5381,4,0,3,0,4,3,40,0,0,0,2,1,1,0,0
312,0,0,3,24,3,5511,1,2,4,0,1,2,25,1,1,1,1,1,0,0,2
313,0,1,2,24,3,3749,0,1,2,1,4,2,26,0,0,2,1,1,0,0,2
314,1,0,1,12,3,685,0,3,2,3,3,2,25,1,0,0,1,1,0,0,1
315,0,0,2,4,3,1494,4,1,1,0,2,0,29,0,0,2,1,1,0,1,1
316,1,0,0,36,1,2746,0,4,4,0,4,2,31,1,0,0,1,1,0,0,2
317,0,0,0,12,3,708,0,2,2,0,3,1,38,1,0,2,1,1,0,0,1
318,0,1,1,24,3,4351,4,2,1,1,4,1,48,1,1,2,1,1,1,0,1
319,0,0,3,12,5,701,0,2,4,0,2,2,32,1,1,2,1,2,0,0,2
320,0,1,0,15,4,3643,0,4,1,1,4,1,27,1,0,2,1,2,0,0,1
321,1,0,1,30,5,4249,0,0,4,3,2,2,28,1,0,2,1,2,0,0,3
322,1,0,0,24,3,1938,0,1,4,2,3,1,32,1,0,2,1,1,0,0,2
323,0,0,0,24,3,2910,0,3,2,0,1,3,34,1,0,2,2,1,1,0,3
324,0,0,0,18,3,2659,3,2,4,0,2,2,28,1,0,2,1,1,0,0,2
325,0,1,3,18,5,1028,0,2,4,1,3,0,36,1,0,2,1,2,0,0,2
326,0,0,0,8,5,3398,0,3,1,0,4,0,39,1,1,2,1,2,0,1,1
327,0,0,3,12,5,5801,4,4,2,0,4,1,49,1,1,2,0,1,1,0,2
328,0,1,3,24,3,1525,3,3,4,1,3,2,34,1,1,2,1,1,1,0,2
329,0,0,2,36,3,4473,0,4,4,0,2,2,31,1,0,2,1,1,0,0,2
330,0,0,1,6,3,1068,0,4,4,0,4,2,28,1,0,2,1,1,0,0,2
331,0,0,0,24,5,6615,0,0,2,0,4,3,75,1,0,2,2,2,1,0,3
332,1,1,3,18,5,1864,1,2,4,1,2,0,30,1,1,2,1,2,0,0,2
333,1,1,1,60,3,7408,1,1,4,1,2,1,24,1,0,2,1,1,0,0,3
334,1,1,3,48,5,11590,1,2,2,1,4,2,24,0,0,0,0,2,0,0,1
335,1,0,0,24,0,4110,0,4,3,0,4,3,23,0,0,0,0,2,0,0,2
336,1,0,0,6,5,3384,0,2,1,2,4,0,44,0,0,2,0,1,1,0,3
337,0,1,1,13,3,2101,0,1,2,1,4,1,23,1,1,2,1,1,0,0,1
338,1,1,0,15,3,1275,4,2,4,1,2,2,24,0,0,2,0,1,0,0,2
339,0,0,0,24,3,4169,0,2,4,0,4,1,28,0,0,2,1,1,0,0,2
340,0,0,1,10,3,1521,0,2,4,2,2,2,31,1,0,2,1,1,0,0,1
341,0,1,1,24,5,5743,0,1,2,1,4,3,24,1,0,2,2,2,1,0,2
342,0,1,0,21,3,3599,0,3,1,1,4,2,26,0,0,2,0,1,0,0,1
343,0,0,1,18,3,3213,2,1,1,3,3,0,25,1,0,2,0,1,0,0,2
344,0,0,1,18,3,4439,0,4,1,0,1,0,33,0,0,0,1,1,1,0,3
345,0,0,2,10,3,3949,0,1,1,0,1,1,37,1,0,2,1,1,0,0,1
346,0,1,3,15,5,1459,0,2,4,1,2,2,43,1,1,2,1,1,0,0,1
347,0,0,1,13,5,882,0,1,4,0,4,0,23,1,1,2,1,2,0,0,2
348,0,1,1,24,3,3758,2,0,1,1,4,3,23,0,0,2,0,1,0,0,0
349,0,0,3,6,4,1743,1,2,1,0,2,0,34,0,0,2,1,2,0,0,1
350,1,0,1,9,5,1136,3,4,4,0,3,3,32,1,0,2,2,2,0,0,2
351,0,1,3,9,3,1236,0,1,1,1,4,0,23,1,0,2,0,1,1,0,2
352,1,1,1,9,3,959,0,2,1,1,2,2,29,0,0,2,1,1,0,1,2
353,0,0,3,18,5,3229,4,0,2,0,4,3,38,1,0,2,1,1,1,0,3
354,1,0,0,12,0,6199,0,2,4,0,2,1,28,1,1,2,0,2,1,0,2
355,0,0,3,10,3,727,2,4,4,0,4,3,46,1,0,2,2,1,1,0,2
356,1,0,1,24,3,1246,0,1,4,0,2,0,23,1,1,1,1,1,0,0,1
357,0,0,3,12,5,2331,4,4,1,0,4,0,49,0,0,2,1,1,1,0,2
358,1,0,3,36,4,4463,0,2,4,0,2,2,26,1,1,2,1,2,1,0,3
359,0,0,3,12,3,776,0,2,4,3,2,0,28,1,0,2,1,1,0,0,2
360,1,1,0,30,3,2406,0,3,4,1,4,0,23,1,0,2,0,1,0,0,2
361,0,0,1,18,3,1239,4,2,4,0,4,3,61,0,0,2,2,1,0,0,2
362,0,0,2,12,3,3399,4,4,2,0,3,2,37,1,1,2,1,1,0,0,3
363,0,1,2,12,4,2247,0,2,2,1,2,2,36,1,1,1,1,2,1,0,2
364,0,0,3,6,3,1766,0,2,1,3,2,1,21,1,1,2,0,1,0,0,2
365,1,0,0,18,3,2473,0,0,4,0,1,2,25,0,0,2,1,1,0,0,0
366,0,0,3,12,3,1542,0,3,2,0,4,2,36,0,0,2,1,1,1,0,2
367,0,0,3,18,5,3850,0,3,3,0,1,2,27,1,1,2,1,2,0,0,2
368,0,1,0,18,3,3650,0,1,1,1,4,2,22,1,0,2,0,1,0,0,2
369,1,0,0,36,3,3446,0,4,4,0,2,2,42,0,0,2,1,1,0,0,2
370,0,1,1,18,3,3001,0,3,2,1,4,0,40,1,1,2,0,1,0,0,2
371,0,0,3,36,3,3079,4,2,4,0,4,0,36,1,1,2,1,1,0,0,2
372,0,0,3,18,5,6070,0,4,3,0,4,2,33,1,1,2,1,2,1,0,2
373,0,1,3,10,5,2146,0,1,1,1,3,0,23,1,0,2,0,2,0,0,2
374,0,0,3,60,5,13756,4,4,2,0,4,3,63,0,0,0,2,1,1,0,3
375,1,1,1,60,1,14782,1,4,3,1,4,3,60,1,1,0,2,2,1,0,3
376,1,1,0,48,1,7685,0,3,2,1,4,2,37,1,1,2,0,1,0,0,2
377,0,0,3,18,4,2320,0,0,2,3,3,0,34,1,1,2,1,2,0,0,2
378,0,0,3,7,4,846,4,4,3,0,4,3,36,1,0,2,2,1,0,0,2
379,1,0,1,36,3,14318,0,4,4,0,2,3,57,1,1,2,2,1,1,0,3
380,0,1,3,6,5,362,1,2,4,1,4,2,52,1,1,2,1,2,0,0,1
381,0,0,0,20,3,2212,4,3,4,0,4,2,39,1,1,2,1,1,1,0,2
382,1,1,1,18,3,12976,0,0,3,1,4,3,38,1,1,2,2,1,1,0,3
383,0,1,3,22,3,1283,4,3,4,1,4,1,25,1,1,2,0,1,0,0,2
384,0,0,2,12,3,1330,0,1,4,0,1,0,26,0,0,2,1,1,0,0,2
385,0,0,3,30,4,4272,1,2,2,0,2,1,26,1,0,2,1,2,0,0,1
386,0,1,3,18,5,2238,0,2,2,1,1,2,25,1,0,2,1,2,0,0,2
387,0,1,3,18,3,1126,4,1,4,1,2,0,21,0,0,2,0,1,1,0,2
388,0,0,1,18,5,7374,0,0,4,0,4,1,40,0,0,1,1,2,1,0,3
389,0,0,1,15,5,2326,2,2,2,0,4,2,27,1,1,0,1,1,0,0,2
390,0,1,3,9,3,1449,0,3,3,1,2,2,27,1,0,2,1,2,0,0,2
391,0,0,3,18,3,1820,0,2,2,3,2,1,30,1,0,2,1,1,1,0,3
392,0,1,1,12,3,983,3,1,1,1,4,0,19,1,0,2,0,1,0,0,1
393,0,0,0,36,3,3249,0,3,2,0,4,3,39,0,0,0,2,1,1,0,3
394,0,1,0,6,5,1957,0,3,1,1,4,2,31,1,1,2,1,1,0,0,2
395,0,0,3,9,5,2406,0,0,2,0,3,2,31,1,0,2,1,1,0,0,3
396,0,0,1,39,4,11760,1,3,2,0,3,3,32,1,0,2,0,1,1,0,2
397,0,1,0,12,3,2578,0,0,3,1,4,3,55,1,0,2,2,1,0,0,3
398,0,0,0,36,5,2348,0,2,3,3,2,1,46,1,1,2,1,2,1,0,2
399,1,0,1,12,3,1223,0,4,1,2,1,0,46,1,1,2,0,2,0,0,2
400,0,1,3,24,5,1516,3,2,4,1,1,0,43,1,1,2,1,2,0,0,1
401,0,0,3,18,3,1473,0,1,3,3,4,0,39,1,1,2,1,1,1,0,2
402,0,0,1,18,5,1887,4,2,4,3,4,0,28,1,1,0,1,2,0,0,2
403,1,0,3,24,4,8648,0,1,2,0,2,2,27,1,0,0,1,2,1,0,2
404,0,0,3,14,4,802,0,2,4,0,2,2,27,1,0,2,1,2,0,0,1
405,0,0,1,18,4,2899,4,4,4,0,4,2,43,1,0,2,1,1,0,0,2
406,1,0,1,24,3,2039,0,1,1,3,1,1,22,1,1,2,1,1,1,0,2
407,0,0,3,24,5,2197,4,3,4,0,4,2,43,0,0,2,1,2,1,0,2
408,0,0,0,15,3,1053,0,1,4,3,2,0,27,1,1,2,1,1,0,1,2
409,0,0,3,24,3,3235,2,4,3,2,2,2,26,1,0,2,1,1,1,0,3
410,1,0,2,12,5,939,2,3,4,3,2,0,28,1,0,2,1,3,1,0,2
411,0,1,1,24,3,1967,0,4,4,1,4,2,20,1,0,2,1,1,1,0,2
412,0,0,3,33,5,7253,0,3,3,0,2,2,35,0,0,2,1,2,1,0,3
413,1,0,3,12,5,2292,0,0,4,0,2,2,42,1,0,1,1,2,1,0,3
414,0,0,3,10,3,1597,2,2,3,0,2,3,40,1,1,2,0,1,0,1,1
415,1,1,0,24,3,1381,4,2,4,1,2,1,35,1,1,2,1,1,0,0,2
416,0,0,3,36,5,5842,0,4,2,0,2,1,35,1,0,2,1,2,1,0,2
417,1,0,0,12,3,2579,0,1,4,0,1,0,33,1,0,2,1,1,0,0,1
418,0,1,0,18,4,8471,4,2,1,1,2,2,23,1,0,2,0,2,1,0,2
419,0,1,3,21,3,2782,2,3,1,1,2,2,31,0,0,0,1,1,0,0,3
420,1,1,1,18,3,1042,4,2,4,1,2,1,33,1,0,2,1,1,0,0,2
421,0,1,3,15,3,3186,3,3,2,1,3,2,20,1,0,2,0,1,0,0,2
422,0,0,1,12,3,2028,4,2,4,0,2,2,30,0,0,2,1,1,0,0,2
423,0,0,1,12,5,958,0,3,2,0,3,0,47,1,0,2,1,2,0,0,1
424,0,0,3,21,4,1591,1,3,4,0,3,0,34,1,1,2,1,2,0,0,3
425,1,1,1,12,3,2762,4,4,1,1,2,1,25,1,0,0,1,1,1,0,2
426,0,0,1,18,3,2779,0,2,1,3,3,2,21,0,0,2,0,1,1,0,2
427,0,0,3,28,5,2743,0,4,4,0,2,2,29,0,0,2,1,2,0,0,2
428,0,0,3,18,5,1149,3,2,4,0,3,0,46,1,0,2,1,2,0,0,2
429,0,0,3,9,3,1313,0,4,1,0,4,2,20,1,1,2,1,1,0,0,2
430,1,1,0,18,5,1190,0,0,2,1,4,3,55,0,0,2,2,3,0,0,0
431,0,0,3,5,3,3448,0,3,1,0,4,0,74,1,1,2,1,1,0,0,1
432,1,0,1,24,3,11328,0,2,2,0,3,2,29,1,1,0,1,2,1,0,3
433,0,0,0,6,5,1872,0,0,4,0,4,3,36,1,0,2,2,3,1,0,3
434,0,0,3,24,5,2058,0,2,4,2,2,0,33,1,1,2,1,2,1,0,2
435,0,0,0,9,3,2136,0,2,3,0,2,0,25,1,0,2,1,1,0,0,2
436,1,0,1,12,3,1484,4,2,2,3,1,0,25,0,0,2,1,1,1,0,2
437,0,0,3,6,3,660,2,3,2,3,4,0,23,0,0,2,0,1,0,0,1
438,0,1,3,24,5,1287,3,4,4,1,4,0,37,0,0,2,1,2,1,0,2
439,0,0,0,42,5,3394,0,0,4,0,4,2,65,1,1,2,1,2,0,0,0
440,1,1,2,12,1,609,0,1,4,1,1,0,26,1,1,2,1,1,0,0,0
441,0,0,3,12,3,1884,0,4,4,0,4,2,39,1,0,2,1,1,1,0,3
442,0,1,0,12,3,1620,0,2,2,1,3,1,30,1,1,2,1,1,0,0,2
443,0,0,1,20,4,2629,0,2,2,0,3,2,29,1,0,0,1,2,1,0,2
444,1,0,3,12,3,719,0,4,4,0,4,2,41,1,0,0,1,1,0,0,1
445,1,1,1,48,5,5096,0,2,2,1,3,2,30,1,1,2,1,1,1,0,3
446,0,1,3,9,5,1244,4,4,4,1,4,1,41,1,0,2,0,2,0,0,1
447,1,1,0,36,3,1842,0,1,4,1,4,2,34,1,1,2,1,1,1,0,2
448,0,0,1,7,3,2576,0,2,2,0,2,0,35,1,0,2,1,1,0,0,2
449,0,1,2,12,3,1424,4,4,3,1,4,0,55,1,0,2,1,1,1,0,3
450,1,0,1,15,4,1512,3,2,3,3,3,1,61,1,1,1,1,2,0,0,2
451,0,0,3,36,5,11054,4,2,4,0,2,2,30,1,1,2,1,1,1,0,3
452,0,1,3,6,3,518,0,2,3,1,1,0,29,1,0,2,1,1,0,0,2
453,0,0,3,12,0,2759,0,4,2,0,4,1,34,1,0,2,1,2,0,0,2
454,0,0,3,24,3,2670,0,4,4,0,4,2,35,1,0,2,1,1,1,0,3
455,1,0,0,24,3,4817,0,3,2,0,3,1,31,1,0,2,1,1,1,0,2
456,0,1,3,24,3,2679,0,1,4,1,1,3,29,1,0,2,1,1,1,0,3
457,0,0,0,11,5,3905,0,2,2,0,2,0,36,1,0,2,0,2,0,0,2
458,1,0,0,12,3,3386,0,4,3,0,4,3,35,1,1,2,2,1,1,0,2
459,0,1,0,6,3,343,0,1,4,1,1,0,27,1,0,2,1,1,0,0,2
460,0,0,3,18,3,4594,0,1,3,0,2,2,32,1,0,2,1,1,1,0,2
461,0,0,0,36,3,3620,0,2,1,0,2,1,37,1,0,2,1,1,0,0,2
462,0,0,0,15,3,1721,0,1,2,0,3,0,36,1,1,2,1,1,0,0,2
463,0,1,1,12,3,3017,0,1,3,1,1,0,34,1,1,2,0,1,0,0,3
464,0,0,1,12,3,754,4,4,4,0,4,1,38,1,0,2,1,2,0,0,2
465,0,0,3,18,3,1950,0,3,4,0,1,2,34,1,1,1,1,2,1,0,2
466,0,0,0,24,3,2924,0,2,3,0,4,3,63,1,0,0,1,1,1,0,2
467,1,1,0,24,4,1659,0,1,4,1,2,2,29,1,1,2,0,1,1,0,1
468,0,0,3,48,4,7238,4,4,3,0,3,2,32,1,0,0,1,2,0,0,2
469,0,1,3,33,4,2764,0,2,2,1,2,2,26,1,0,2,1,2,1,0,2
470,0,0,3,24,4,4679,0,3,3,0,3,2,35,1,0,2,1,2,1,0,1
471,1,0,1,24,3,3092,1,1,3,3,2,2,22,1,0,2,0,1,1,0,2
472,1,1,0,6,3,448,0,1,4,1,4,1,23,0,0,2,1,1,0,0,2
473,1,0,0,9,3,654,0,2,4,0,3,2,28,0,0,2,1,1,0,0,1
474,0,0,3,6,3,1238,4,0,4,0,4,1,36,1,0,2,1,1,1,0,3
475,1,0,1,18,5,1245,0,2,4,3,2,2,33,1,1,2,1,1,0,0,2
476,1,1,0,18,0,3114,0,1,1,1,4,1,26,1,0,2,0,1,0,0,2
477,0,0,3,39,3,2569,2,2,4,0,4,2,24,1,0,2,1,1,0,0,2
478,0,0,2,24,3,5152,0,3,4,0,2,2,25,0,0,0,1,1,0,0,2
479,0,0,1,12,3,1037,1,3,3,0,4,0,39,0,0,2,1,1,0,0,1
480,0,0,0,15,5,1478,0,4,4,0,4,2,44,1,1,2,1,2,1,0,2
481,0,1,1,12,5,3573,0,2,1,1,1,0,23,1,1,2,1,1,0,0,1
482,0,0,1,24,3,1201,0,1,4,0,1,1,26,0,0,2,1,1,0,0,2
483,0,1,0,30,3,3622,3,4,4,1,4,1,57,1,0,2,0,2,1,0,2
484,0,1,3,15,4,960,3,3,3,1,2,1,30,1,1,2,1,2,0,0,2
485,0,0,3,12,5,1163,2,2,4,0,4,0,44,1,0,2,1,1,1,0,2
486,1,0,1,6,4,1209,0,0,4,0,4,1,47,1,1,2,1,1,1,0,3
487,0,0,3,12,3,3077,0,2,2,0,4,2,52,1,1,2,1,1,1,0,2
488,0,1,3,24,3,3757,0,4,4,1,4,3,62,1,1,2,2,1,1,0,2
489,0,0,3,10,3,1418,1,2,3,0,2,0,35,1,1,2,0,1,0,1,1
490,0,0,3,6,3,3518,0,2,2,0,3,1,26,1,0,2,0,1,0,0,2
491,0,0,3,12,5,1934,0,4,2,0,2,3,26,1,0,2,1,2,0,0,2
492,1,1,1,27,0,8318,0,4,2,1,4,3,42,1,0,2,2,2,1,0,3
493,0,1,3,6,5,1237,1,2,1,1,1,1,27,1,1,2,1,2,0,0,2
494,0,0,1,6,3,368,4,4,4,0,4,1,38,1,0,2,1,1,0,0,2
495,0,0,0,12,5,2122,0,2,3,0,2,0,39,1,1,2,0,2,0,1,1
496,1,0,0,24,3,2996,4,2,2,3,4,2,20,1,1,2,1,1,0,0,2
497,1,0,1,36,3,9034,1,1,4,0,1,3,29,0,0,2,0,1,1,0,3
498,0,0,3,24,5,1585,0,3,4,0,3,1,40,1,0,2,1,2,0,0,2
499,0,0,1,18,3,1301,0,4,4,3,2,0,32,1,1,2,1,1,0,0,1
500,0,0,2,6,5,1323,1,4,2,2,4,2,28,1,0,2,1,2,1,0,2
501,1,1,0,24,3,3123,0,1,4,1,1,1,27,1,0,2,1,1,0,0,2
502,0,0,0,36,3,5493,0,4,2,0,4,3,42,1,0,2,2,1,0,0,2
503,0,0,2,9,3,1126,1,4,2,2,4,0,49,1,1,2,1,1,0,0,2
504,1,0,1,24,5,1216,1,1,4,0,4,3,38,1,1,0,1,2,0,0,2
505,1,1,0,24,3,1207,0,1,4,1,4,1,24,1,1,2,0,1,0,0,2
506,1,0,3,10,3,1309,4,2,4,0,4,1,27,0,0,2,1,1,0,0,1
507,0,0,2,15,5,2360,2,2,2,0,2,2,36,1,0,2,1,1,1,0,2
508,1,0,1,15,1,6850,1,0,1,0,2,1,34,1,1,2,1,1,1,0,3
509,0,0,3,24,3,1413,0,2,4,3,2,1,28,1,0,2,1,1,0,0,2
510,0,0,3,39,3,8588,1,4,4,0,2,2,45,1,0,2,1,1,1,0,3
511,1,0,0,12,3,759,0,3,4,0,2,0,26,1,1,2,1,1,0,0,2
512,0,0,3,36,3,4686,0,2,2,0,2,3,32,1,0,2,2,1,1,0,3
513,0,0,2,15,3,2687,0,3,2,0,4,1,26,1,0,2,0,1,1,0,2
514,0,0,1,12,4,585,0,2,4,3,4,0,20,1,0,2,0,2,0,0,2
515,0,0,3,24,3,2255,4,1,4,0,1,1,54,0,0,2,1,1,0,0,2
516,0,1,0,6,5,609,0,3,4,1,3,1,37,1,1,2,1,2,0,1,2
517,0,0,0,6,5,1361,0,1,2,0,4,0,40,1,1,2,1,1,0,1,1
518,1,1,3,36,5,7127,0,1,2,1,4,1,23,1,1,2,0,2,1,0,2
519,0,0,0,6,3,1203,1,4,3,0,2,1,43,0,0,2,1,1,1,0,2
520,0,0,3,6,5,700,4,4,4,0,4,3,36,1,1,2,2,2,0,0,2
521,0,0,3,24,5,5507,0,4,3,0,4,3,44,1,1,2,2,2,0,0,2
522,1,1,0,18,3,3190,0,2,2,1,2,0,24,1,1,2,1,1,0,0,2
523,1,0,0,48,0,7119,0,2,3,0,4,3,53,0,0,2,2,2,0,0,2
524,0,1,3,24,3,3488,1,3,3,1,4,2,23,1,1,2,1,1,0,0,2
525,0,1,1,18,3,1113,0,2,4,1,4,0,26,0,0,2,1,1,0,0,1
526,0,0,1,26,3,7966,0,1,2,0,3,2,30,1,0,2,1,2,0,0,2
527,0,1,3,15,5,1532,1,2,4,1,3,2,31,1,0,2,1,1,0,0,2
528,0,0,3,4,5,1503,0,3,2,0,1,0,42,1,0,2,1,2,0,0,1
529,1,0,0,36,3,2302,0,2,4,2,4,2,31,1,1,2,0,1,0,0,2
530,0,0,0,6,3,662,0,1,3,0,4,0,41,1,0,2,1,1,1,0,1
531,0,0,1,36,3,2273,0,3,3,0,1,2,32,1,1,2,1,2,0,0,2
532,1,1,1,15,3,2631,1,2,2,1,4,2,28,1,0,2,0,2,1,0,2
533,0,0,3,12,4,1503,0,2,4,3,4,0,41,1,0,2,0,1,0,0,2
534,0,0,3,24,3,1311,1,3,4,3,3,1,26,1,1,2,1,1,1,0,2
535,0,0,3,24,3,3105,4,1,4,0,2,2,25,1,0,2,1,2,0,0,2
536,1,0,2,21,5,2319,0,1,2,2,1,2,33,0,0,2,0,1,0,0,2
537,0,1,0,6,3,1374,4,0,4,1,3,1,75,1,0,2,1,1,1,0,3
538,0,1,1,18,5,3612,0,4,3,1,4,1,37,1,1,2,1,1,1,0,2
539,1,0,0,48,3,7763,0,4,4,0,4,3,42,1,1,0,2,1,0,0,3
540,0,1,2,18,3,3049,0,1,1,1,1,1,45,1,1,1,1,1,0,0,1
541,1,0,1,12,3,1534,0,1,1,3,1,0,23,1,1,2,0,1,0,0,2
542,0,0,3,24,4,2032,0,4,4,0,4,3,60,0,0,2,2,2,1,0,2
543,1,0,0,30,3,6350,4,4,4,0,4,1,31,1,1,2,1,1,0,0,2
544,1,0,2,18,3,2864,0,2,2,0,1,0,34,1,0,2,1,1,0,0,1
545,0,0,3,12,5,1255,0,4,4,0,4,0,61,1,0,2,1,2,0,0,1
546,1,0,0,24,4,1333,0,0,4,0,2,0,43,1,1,2,2,2,0,0,2
547,0,1,3,24,5,2022,0,2,4,1,4,2,37,1,1,2,1,1,1,0,2
548,0,0,3,24,3,1552,0,3,3,0,1,2,32,1,1,0,1,1,0,0,2
549,1,1,0,12,1,626,0,2,4,1,4,0,24,1,0,0,1,1,0,0,1
550,0,0,3,48,5,8858,4,3,2,0,1,3,35,0,0,2,2,2,1,0,2
551,0,1,3,12,5,996,4,3,4,1,4,0,23,1,0,2,1,2,0,0,2
552,0,0,3,6,1,1750,2,4,2,0,4,1,45,0,0,0,1,1,0,0,1
553,1,0,0,48,3,6999,0,3,1,3,1,0,34,1,1,2,1,2,1,0,2
554,0,0,1,12,5,1995,1,1,4,0,1,2,27,1,0,2,1,1,0,0,2
555,0,1,1,9,3,1199,0,3,4,1,4,1,67,1,0,2,1,2,1,0,3
556,1,0,1,12,3,1331,0,1,2,0,1,2,22,1,1,1,1,1,0,0,2
557,1,1,1,18,0,2278,1,1,3,1,3,2,28,0,0,2,1,2,0,0,2
558,1,1,3,21,0,5003,4,2,1,1,4,1,29,1,0,0,1,2,1,0,2
559,1,0,0,24,1,3552,0,3,3,0,4,2,27,1,0,0,1,1,0,0,2
560,1,0,1,18,5,1928,0,1,2,0,2,0,31,1,0,2,1,2,0,0,1
561,0,0,0,24,3,2964,4,4,4,0,4,3,49,1,0,0,2,1,1,0,2
562,1,0,0,24,1,1546,0,3,4,0,4,2,24,1,1,0,0,1,0,0,1
563,0,1,2,6,4,683,0,1,2,1,1,1,29,0,0,0,1,1,0,0,2
564,1,0,1,36,3,12389,4,2,1,0,4,3,37,1,0,2,2,1,1,0,2
565,0,0,1,24,4,4712,4,2,4,0,2,1,37,1,1,0,1,2,1,0,3
566,0,1,1,24,4,1553,1,3,3,1,2,1,23,1,1,2,0,2,1,0,2
567,1,0,0,12,3,1372,0,3,2,2,3,2,36,0,0,2,1,1,0,0,2
568,0,0,3,24,5,2578,3,4,2,0,2,2,34,1,1,2,1,1,0,0,2
569,0,0,1,48,3,3979,4,3,4,0,1,2,41,1,0,2,1,2,1,0,2
570,1,1,0,48,3,6758,0,2,3,1,2,2,31,1,1,2,1,1,1,0,2
571,1,1,0,24,3,3234,0,1,4,1,4,0,23,1,0,2,0,1,1,0,1
572,0,0,3,30,5,5954,0,3,3,0,2,2,38,0,0,2,1,1,0,0,2
573,0,1,3,24,3,5433,4,0,2,1,4,1,26,1,1,2,0,1,1,0,3
574,0,1,0,15,3,806,0,2,4,1,4,1,22,1,0,2,1,1,0,0,1
575,0,0,1,9,3,1082,0,4,4,0,4,2,27,0,0,2,1,2,0,0,1
576,0,1,3,15,5,2788,0,3,2,1,3,2,24,1,0,0,1,2,0,0,2
577,0,1,1,12,3,2930,0,3,2,1,1,0,27,0,0,2,1,1,0,0,2
578,0,1,3,24,5,1927,4,2,3,1,2,2,33,1,0,2,1,2,1,0,2
579,1,0,1,36,5,2820,0,1,4,2,4,2,27,1,0,2,1,2,0,0,2
580,0,0,3,24,3,937,0,1,4,3,3,2,27,1,0,2,1,2,0,0,1
581,1,0,1,18,5,1056,0,4,3,0,3,0,30,1,0,0,1,2,0,0,2
582,0,0,1,12,5,3124,0,1,1,0,3,0,49,1,0,0,1,2,0,0,1
583,0,1,3,9,3,1388,0,2,4,1,2,0,26,1,1,2,0,1,0,0,2
584,1,0,1,36,3,2384,0,1,4,0,1,3,33,1,0,2,0,1,0,0,1
585,0,1,3,12,3,2133,4,4,4,1,4,3,52,1,0,2,2,1,1,0,3
586,1,1,0,18,3,2039,0,2,1,1,4,0,20,1,1,0,0,1,0,0,2
587,0,0,0,9,5,2799,0,2,2,0,2,0,36,0,0,2,0,2,0,0,2
588,0,0,0,12,3,1289,0,2,4,0,1,1,21,1,1,2,1,1,0,0,1
589,1,0,0,18,3,1217,0,2,4,3,3,0,47,0,0,2,1,1,1,0,1
590,1,0,0,12,5,2246,0,4,3,0,3,1,60,1,1,2,1,2,0,0,2
591,0,1,0,12,5,385,0,3,4,1,3,0,58,1,1,2,1,4,1,0,1
592,0,1,1,24,4,1965,4,2,4,1,4,2,42,1,1,2,0,2,1,0,2
593,0,1,3,21,3,1572,3,4,4,1,4,0,36,1,1,0,1,1,0,0,1
594,1,1,1,24,3,2718,0,2,3,1,4,1,20,1,1,2,0,1,1,0,1
595,1,0,0,24,1,1358,4,4,4,0,3,2,40,0,0,1,1,1,1,0,3
596,1,1,1,6,1,931,1,1,1,1,1,1,32,1,1,1,1,1,0,0,1
597,1,1,0,24,3,1442,0,3,4,1,4,2,23,1,0,2,0,2,0,0,2
598,1,0,1,24,0,4241,0,2,1,0,4,0,36,0,0,2,1,3,1,0,1
599,1,0,3,18,5,2775,0,3,2,0,2,1,31,1,1,0,1,2,0,0,2
600,0,0,3,24,4,3863,0,2,1,0,2,3,32,1,0,2,2,1,0,0,2
601,0,1,1,7,3,2329,0,1,1,1,1,0,45,1,0,2,1,1,0,0,2
602,1,1,1,9,3,918,0,2,4,1,1,1,30,1,1,2,1,1,0,0,2
603,1,1,1,24,1,1837,0,3,4,1,4,3,34,1,0,0,2,1,0,0,1
604,1,1,3,36,3,3349,0,2,4,1,2,2,28,1,0,2,1,1,1,0,3
605,0,1,2,10,3,1275,0,1,4,1,2,1,23,1,0,2,1,1,0,0,2
606,0,0,0,24,1,2828,2,2,4,0,4,0,22,0,0,1,1,1,1,0,2
607,0,0,3,24,5,4526,0,2,3,0,2,0,74,0,0,2,1,1,1,0,3
608,1,1,1,36,3,2671,1,2,4,1,4,3,50,1,1,2,2,1,0,0,2
609,0,0,3,18,3,2051,0,1,4,0,1,0,33,1,1,2,1,1,0,0,2
610,0,0,3,15,3,1300,4,4,4,0,4,3,45,1,0,0,2,1,0,0,2
611,1,1,0,12,3,741,1,0,4,1,3,1,22,1,1,2,1,1,0,0,2
612,1,1,2,10,3,1240,1,4,1,1,4,3,48,0,0,2,2,1,0,0,1
613,0,1,0,21,3,3357,3,1,4,1,2,2,29,1,1,0,1,1,0,0,2
614,0,1,0,24,1,3632,0,2,1,1,4,2,22,1,0,0,0,1,0,1,2
615,1,1,3,18,4,1808,0,3,4,1,1,0,22,0,0,2,1,1,0,0,2
